Year,State Name,Area_ha,N_req_kg_per_ha,P_req_kg_per_ha,K_req_kg_per_ha,Temperature_C,Humidity_%,pH,Rainfall_mm,Wind_Speed_m_s,Solar_Radiation_MJ_m2_day,Yield_kg_per_ha,Crop_cotton,Crop_maize,Crop_rice
2008,Chhattisgarh,10.0,27.0,12.0,27.0,28,65,6.0,700,3.0,22,1000.0,True,False,False
2009,Chhattisgarh,789040.0,19.70925,9.46044,17.34414,25,80,6.5,1200,2.0,18,788.37,False,False,True
2009,Chhattisgarh,3250.0,28.241190000000003,12.55164,17.78149,22,70,6.0,800,2.5,20,1045.97,False,True,False
2009,Chhattisgarh,147220.0,15.90192,8.8344,15.90192,20,60,6.5,600,1.5,16,883.44,False,False,False
2010,Chhattisgarh,777920.0,42.39425,20.34924,37.30694,25,80,6.5,1200,2.0,18,1695.77,False,False,True
2010,Chhattisgarh,3170.0,39.34764,17.48784,24.77444,22,70,6.0,800,2.5,20,1457.32,False,True,False
2010,Chhattisgarh,184260.0,17.08002,9.4889,17.08002,20,60,6.5,600,1.5,16,948.89,False,False,False
2011,Chhattisgarh,806550.0,43.90575,21.07476,38.63706,25,80,6.5,1200,2.0,18,1756.23,False,False,True
2011,Chhattisgarh,3630.0,34.71012,15.42672,21.85452,22,70,6.0,800,2.5,20,1285.56,False,True,False
2011,Chhattisgarh,196270.0,18.15282,10.0849,18.15282,20,60,6.5,600,1.5,16,1008.49,False,False,False
2011,Chhattisgarh,80.0,6.75,3.0,6.75,28,65,6.0,700,3.0,22,250.0,True,False,False
2012,Chhattisgarh,807070.0,47.52425,22.81164,41.82134,25,80,6.5,1200,2.0,18,1900.97,False,False,True
2012,Chhattisgarh,3120.0,41.54112,18.46272,26.15552,22,70,6.0,800,2.5,20,1538.56,False,True,False
2012,Chhattisgarh,208600.0,20.35746,11.3097,20.35746,20,60,6.5,600,1.5,16,1130.97,False,False,False
2012,Chhattisgarh,130.0,4.15395,1.8462,4.15395,28,65,6.0,700,3.0,22,153.85,True,False,False
2013,Chhattisgarh,819440.0,39.5465,18.98232,34.80092,25,80,6.5,1200,2.0,18,1581.86,False,False,True
2013,Chhattisgarh,3640.0,47.0394,20.9064,29.6174,22,70,6.0,800,2.5,20,1742.2,False,True,False
2013,Chhattisgarh,229990.0,13.61142,7.5619,13.61142,20,60,6.5,600,1.5,16,756.19,False,False,False
2013,Chhattisgarh,50.0,5.4,2.4000000000000004,5.4,28,65,6.0,700,3.0,22,200.0,True,False,False
2014,Chhattisgarh,834870.0,43.24725,20.75868,38.05758,25,80,6.5,1200,2.0,18,1729.89,False,False,True
2014,Chhattisgarh,4020.0,39.19482000000001,17.41992,24.678220000000003,22,70,6.0,800,2.5,20,1451.66,False,True,False
2014,Chhattisgarh,228750.0,19.00962,10.5609,19.00962,20,60,6.5,600,1.5,16,1056.09,False,False,False
2014,Chhattisgarh,50.0,10.8,4.800000000000001,10.8,28,65,6.0,700,3.0,22,400.0,True,False,False
2015,Chhattisgarh,817680.0,26.92375,12.9234,23.6929,25,80,6.5,1200,2.0,18,1076.95,False,False,True
2015,Chhattisgarh,9870.0,39.61359,17.60604,24.94189,22,70,6.0,800,2.5,20,1467.17,False,True,False
2015,Chhattisgarh,220270.0,13.58514,7.5473,13.58514,20,60,6.5,600,1.5,16,754.73,False,False,False
2015,Chhattisgarh,50.0,5.4,2.4000000000000004,5.4,28,65,6.0,700,3.0,22,200.0,True,False,False
2016,Chhattisgarh,858910.0,52.149,25.03152,45.89112,25,80,6.5,1200,2.0,18,2085.96,False,False,True
2016,Chhattisgarh,7950.0,54.76896,24.34176,34.48416,22,70,6.0,800,2.5,20,2028.48,False,True,False
2016,Chhattisgarh,227240.0,20.91294,11.6183,20.91294,20,60,6.5,600,1.5,16,1161.83,False,False,False
2016,Chhattisgarh,60.0,8.580869999999999,3.81372,8.580869999999999,28,65,6.0,700,3.0,22,317.81,True,False,False
2017,Chhattisgarh,841130.0,29.22300000000001,14.027040000000005,25.716240000000003,25,80,6.5,1200,2.0,18,1168.92,False,False,True
2017,Chhattisgarh,9250.0,52.81281,23.47236,33.25251,22,70,6.0,800,2.5,20,1956.03,False,True,False
2017,Chhattisgarh,258460.0,18.068760000000005,10.038200000000002,18.068760000000005,20,60,6.5,600,1.5,16,1003.82,False,False,False
2017,Chhattisgarh,450.0,8.04195,3.5742000000000003,8.04195,28,65,6.0,700,3.0,22,297.85,True,False,False
1966,Chhattisgarh,406000.0,16.0715,7.71432,14.14292,25,80,6.5,1200,2.0,18,642.86,False,False,True
1966,Chhattisgarh,23000.0,36.39140999999999,16.173959999999997,22.91311,22,70,6.0,800,2.5,20,1347.83,False,True,False
1966,Chhattisgarh,1900.0,4.73688,2.6316,4.73688,20,60,6.5,600,1.5,16,263.16,False,False,False
1967,Chhattisgarh,414000.0,19.26325,9.24636,16.951659999999997,25,80,6.5,1200,2.0,18,770.53,False,False,True
1967,Chhattisgarh,24000.0,38.25009,17.000040000000002,24.08339,22,70,6.0,800,2.5,20,1416.67,False,True,False
1967,Chhattisgarh,2000.0,9.0,5.0,9.0,20,60,6.5,600,1.5,16,500.0,False,False,False
1968,Chhattisgarh,423200.0,17.36775,8.33652,15.28362,25,80,6.5,1200,2.0,18,694.71,False,False,True
1968,Chhattisgarh,24700.0,26.23482,11.65992,16.51822,22,70,6.0,800,2.5,20,971.66,False,True,False
1968,Chhattisgarh,2500.0,7.2,4.0,7.2,20,60,6.5,600,1.5,16,400.0,False,False,False
1969,Chhattisgarh,429100.0,19.168000000000003,9.20064,16.86784,25,80,6.5,1200,2.0,18,766.72,False,False,True
1969,Chhattisgarh,25100.0,26.89254,11.95224,16.93234,22,70,6.0,800,2.5,20,996.02,False,True,False
1969,Chhattisgarh,2400.0,6.75,3.75,6.75,20,60,6.5,600,1.5,16,375.0,False,False,False
1970,Chhattisgarh,437700.0,18.0945,8.68536,15.92316,25,80,6.5,1200,2.0,18,723.78,False,False,True
1970,Chhattisgarh,25400.0,38.37402,17.05512,24.16142,22,70,6.0,800,2.5,20,1421.26,False,True,False
1970,Chhattisgarh,2200.0,6.54552,3.6364,6.54552,20,60,6.5,600,1.5,16,363.64,False,False,False
1971,Chhattisgarh,445600.0,20.56775,9.872520000000002,18.09962,25,80,6.5,1200,2.0,18,822.71,False,False,True
1971,Chhattisgarh,26800.0,35.361900000000006,15.7164,22.2649,22,70,6.0,800,2.5,20,1309.7,False,True,False
1971,Chhattisgarh,2300.0,7.82604,4.3478,7.82604,20,60,6.5,600,1.5,16,434.78,False,False,False
1972,Chhattisgarh,443100.0,16.125,7.74,14.19,25,80,6.5,1200,2.0,18,645.0,False,False,True
1972,Chhattisgarh,26800.0,37.37691,16.611959999999996,23.53361,22,70,6.0,800,2.5,20,1384.33,False,True,False
1972,Chhattisgarh,2000.0,6.3,3.5,6.3,20,60,6.5,600,1.5,16,350.0,False,False,False
1973,Chhattisgarh,450500.0,20.2165,9.70392,17.790519999999997,25,80,6.5,1200,2.0,18,808.66,False,False,True
1973,Chhattisgarh,27400.0,38.824920000000006,17.25552,24.44532,22,70,6.0,800,2.5,20,1437.96,False,True,False
1973,Chhattisgarh,2100.0,7.71426,4.2857,7.71426,20,60,6.5,600,1.5,16,428.57,False,False,False
1974,Chhattisgarh,451600.0,16.768250000000002,8.048760000000001,14.756060000000002,25,80,6.5,1200,2.0,18,670.73,False,False,True
1974,Chhattisgarh,28200.0,33.12765,14.7234,20.85815,22,70,6.0,800,2.5,20,1226.95,False,True,False
1974,Chhattisgarh,1600.0,5.625,3.125,5.625,20,60,6.5,600,1.5,16,312.5,False,False,False
1975,Chhattisgarh,458300.0,22.25075,10.68036,19.58066,25,80,6.5,1200,2.0,18,890.03,False,False,True
1975,Chhattisgarh,29400.0,31.95909,14.20404,20.12239,22,70,6.0,800,2.5,20,1183.67,False,True,False
1975,Chhattisgarh,2100.0,6.8571,3.8095,6.8571,20,60,6.5,600,1.5,16,380.95,False,False,False
1976,Chhattisgarh,459600.0,16.106499999999997,7.731119999999999,14.17372,25,80,6.5,1200,2.0,18,644.26,False,False,True
1976,Chhattisgarh,28700.0,30.669030000000003,13.630680000000002,19.31013,22,70,6.0,800,2.5,20,1135.89,False,True,False
1976,Chhattisgarh,1400.0,5.142779999999999,2.8570999999999995,5.142779999999999,20,60,6.5,600,1.5,16,285.71,False,False,False
1977,Chhattisgarh,473400.0,22.72925,10.91004,20.00174,25,80,6.5,1200,2.0,18,909.17,False,False,True
1977,Chhattisgarh,29300.0,26.907930000000004,11.95908,16.942030000000003,22,70,6.0,800,2.5,20,996.59,False,True,False
1977,Chhattisgarh,2000.0,6.3,3.5,6.3,20,60,6.5,600,1.5,16,350.0,False,False,False
1978,Chhattisgarh,490400.0,20.50375,9.8418,18.0433,25,80,6.5,1200,2.0,18,820.15,False,False,True
1978,Chhattisgarh,27600.0,29.5434,13.130400000000002,18.6014,22,70,6.0,800,2.5,20,1094.2,False,True,False
1978,Chhattisgarh,1700.0,6.352919999999999,3.5294,6.352919999999999,20,60,6.5,600,1.5,16,352.94,False,False,False
1979,Chhattisgarh,497500.0,15.53775,7.45812,13.67322,25,80,6.5,1200,2.0,18,621.51,False,False,True
1979,Chhattisgarh,27000.0,39.40002,17.51112,24.80742,22,70,6.0,800,2.5,20,1459.26,False,True,False
1979,Chhattisgarh,2100.0,5.142779999999999,2.8570999999999995,5.142779999999999,20,60,6.5,600,1.5,16,285.71,False,False,False
1980,Chhattisgarh,519400.0,18.85825,9.05196,16.59526,25,80,6.5,1200,2.0,18,754.33,False,False,True
1980,Chhattisgarh,28000.0,29.21778,12.985680000000002,18.39638,22,70,6.0,800,2.5,20,1082.14,False,True,False
1980,Chhattisgarh,1800.0,5.99994,3.3332999999999995,5.99994,20,60,6.5,600,1.5,16,333.33,False,False,False
1981,Chhattisgarh,523500.0,18.59125,8.9238,16.3603,25,80,6.5,1200,2.0,18,743.65,False,False,True
1981,Chhattisgarh,27000.0,29.400030000000005,13.066680000000002,18.51113,22,70,6.0,800,2.5,20,1088.89,False,True,False
1981,Chhattisgarh,2000.0,7.2,4.0,7.2,20,60,6.5,600,1.5,16,400.0,False,False,False
1982,Chhattisgarh,527700.0,17.6425,8.468399999999999,15.5254,25,80,6.5,1200,2.0,18,705.7,False,False,True
1982,Chhattisgarh,28000.0,35.38917,15.72852,22.28207,22,70,6.0,800,2.5,20,1310.71,False,True,False
1982,Chhattisgarh,2300.0,7.82604,4.3478,7.82604,20,60,6.5,600,1.5,16,434.78,False,False,False
1983,Chhattisgarh,538000.0,18.959,9.10032,16.68392,25,80,6.5,1200,2.0,18,758.36,False,False,True
1983,Chhattisgarh,29000.0,36.31041,16.13796,22.86211,22,70,6.0,800,2.5,20,1344.83,False,True,False
1983,Chhattisgarh,2200.0,7.363619999999999,4.0909,7.363619999999999,20,60,6.5,600,1.5,16,409.09,False,False,False
1984,Chhattisgarh,533400.0,18.5415,8.89992,16.31652,25,80,6.5,1200,2.0,18,741.66,False,False,True
1984,Chhattisgarh,28800.0,40.12497,17.833319999999997,25.26387,22,70,6.0,800,2.5,20,1486.11,False,True,False
1984,Chhattisgarh,2400.0,7.50006,4.1667000000000005,7.50006,20,60,6.5,600,1.5,16,416.67,False,False,False
1985,Chhattisgarh,555400.0,37.554,18.025920000000003,33.047520000000006,25,80,6.5,1200,2.0,18,1502.16,False,False,True
1985,Chhattisgarh,28700.0,30.480840000000004,13.547040000000004,19.191640000000003,22,70,6.0,800,2.5,20,1128.92,False,True,False
