Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Fertilizer_per_Area,Pesticide_per_Area,Production_per_Area,Yield
Rice,1998,Winter,Odisha,3358901.0,4383502,1357.1,331859418.8,974081.29,98.8,0.29000000000000004,1.3050405474885982,1.342333333
Rice,1998,Kharif,Puducherry,4945.0,11518,1434.5875,488566.0,1434.05,98.8,0.29,2.329221435793731,2.46
Rice,1998,Rabi,Puducherry,13961.0,30220,1434.5875,1379346.8,4048.69,98.8,0.29,2.164601389585273,2.555
Rice,1998,Summer,Puducherry,5716.0,14863,1434.5875,564740.8,1657.64,98.80000000000001,0.29000000000000004,2.6002449265220435,2.55
Rice,1998,Kharif,Punjab,2519000.0,7940000,588.6,248877200.0,730510.0,98.8,0.29,3.15204446208813,3.099411765
Rice,1998,Kharif,Sikkim,15874.0,21957,3183.8,1568351.2,4603.46,98.8,0.29,1.3832052412750409,1.3775
Rice,1998,Kharif,Tamil Nadu,2386399.0,8215286,1077.1,235776221.2,692055.71,98.8,0.29,3.4425450228566135,3.445
Rice,1998,Kharif,Tripura,255487.0,491430,2472.9,25242115.6,74091.23,98.80000000000001,0.29,1.9235029570976214,1.8775
Rice,1998,Kharif,Uttar Pradesh,5875153.0,11374070,743.4,580465116.4,1703794.37,98.8,0.29000000000000004,1.9359614975133415,1.865060241
Rice,1998,Summer,Uttar Pradesh,5629.0,12643,743.4,556145.2,1632.41,98.8,0.29000000000000004,2.2460472552851307,2.015172414
Rice,1998,Autumn,West Bengal,425002.0,740688,2152.5,41990197.6,123250.58,98.8,0.29,1.7427870927666222,1.751111111
Rice,1998,Summer,West Bengal,1450473.0,4921984,2152.5,143306732.4,420637.17,98.8,0.29,3.3933647851425017,3.22
Rice,1998,Winter,West Bengal,4028620.0,7653780,2152.5,398027656.0,1168299.8,98.8,0.29000000000000004,1.8998515620733651,1.781666667
Rice,1999,Kharif,Andhra Pradesh,2848794.0,7056175,650.4,302342507.2,769174.38,106.12999999297948,0.27,2.476898996557842,2.400869565
Rice,1999,Rabi,Andhra Pradesh,1165454.0,3581740,650.4,123689633.0,314672.58,106.12999998283931,0.27,3.073257288575954,2.73
Rice,1999,Kharif,Arunachal Pradesh,122740.0,134807,2338.6,13026396.2,33139.8,106.13,0.27,1.0983135082287763,1.097692308
Rice,1999,Autumn,Assam,557220.0,514156,2201.8,59137758.6,150449.4,106.13000000000001,0.26999999999999996,0.9227163418398479,1.094782609
Rice,1999,Summer,Assam,294654.0,653783,2201.8,31271629.02,79556.58,106.13,0.27,2.21881596720221,1.990434783
Rice,1999,Winter,Assam,1793994.0,2692709,2201.8,190396583.2,484378.38,106.12999998885168,0.27,1.5009576397691409,1.501304348
Rice,1999,Kharif,Bihar,744230.0,862282,1402.7,78985129.9,200942.1,106.13000000000001,0.27,1.1586230063286886,1.061666667
Rice,1999,Summer,Bihar,124874.0,246807,1402.7,13252877.62,33715.98,106.13,0.27,1.9764482598459248,1.700666667
Rice,1999,Kharif,Delhi,8105.0,15279,365.9,860183.65,2188.35,106.13000000000001,0.26999999999999996,1.8851326341764343,1.89
Rice,1999,Kharif,Goa,40500.0,96281,3879.3,4298265.0,10935.0,106.13,0.27,2.3773086419753087,2.38
Rice,1999,Rabi,Goa,16213.0,43642,3879.3,1720685.69,4377.51,106.13,0.27,2.691790538456794,2.69
Rice,1999,Kharif,Gujarat,664400.0,984900,458.9,70512772.0,179388.0,106.13,0.27,1.4823901264298616,1.510714286
Rice,1999,Kharif,Haryana,1083052.0,2563000,344.0,114944308.8,292424.04,106.13000003693267,0.26999999999999996,2.366460705487825,2.235
Rice,1999,Kharif,Himachal Pradesh,80222.0,120365,1144.9,8513960.86,21659.94,106.13,0.26999999999999996,1.500398893071726,1.55
Rice,1999,Kharif,Jammu and Kashmir,250625.0,391529,667.1,26598831.25,67668.75,106.13,0.27,1.5622104738154614,1.489166667
Rice,1999,Kharif,Karnataka,1096198.0,2678951,1203.8,116339493.7,295973.46,106.12999996351024,0.27,2.4438568579763875,2.292962963
Rice,1999,Rabi,Karnataka,52778.0,107289,1203.8,5601329.14,14250.06,106.13,0.27,2.032835651218311,2.079285714
Rice,1999,Summer,Karnataka,300820.0,930490,1203.8,31926026.6,81221.4,106.13000000000001,0.26999999999999996,3.093178645036899,2.7336
Rice,1999,Autumn,Kerala,121525.0,252876,2914.6,12897448.25,32811.75,106.13,0.27,2.0808557909895082,2.081538462
Rice,1999,Summer,Kerala,58021.0,144551,2914.6,6157768.73,15665.67,106.13000000000001,0.27,2.4913565777907998,2.292857143
Rice,1999,Winter,Kerala,170228.0,373259,2914.6,18066297.64,45961.56,106.13000000000001,0.26999999999999996,2.1927003783161405,2.097142857
Rice,1999,Kharif,Madhya Pradesh,5514025.0,6663769,1222.9,585203473.3,1488786.75,106.13000000906777,0.27,1.208512656362639,1.110508475
Rice,1999,Kharif,Maharashtra,1457100.0,2466400,1166.5,154642023.0,393417.0,106.13,0.27,1.6926772356049689,1.211935484
Rice,1999,Summer,Maharashtra,41400.0,82900,1166.5,4393782.0,11178.0,106.13,0.27,2.002415458937198,2.081
Rice,1999,Kharif,Manipur,157050.0,364980,2092.7,16667716.5,42403.5,106.13,0.27,2.323973256924546,2.171111111
Rice,1999,Kharif,Meghalaya,102482.0,156887,6200.3,10876414.66,27670.14,106.13,0.27,1.530873714408384,1.605714286
Rice,1999,Rabi,Meghalaya,3929.0,13846,6200.3,416984.77,1060.83,106.13000000000001,0.26999999999999996,3.5240519216085517,1.755714286
Rice,1999,Kharif,Mizoram,49713.0,88397,2535.9,5276040.69,13422.51,106.13000000000001,0.27,1.7781465612616418,1.655
Rice,1999,Kharif,Nagaland,148000.0,222000,1782.2,15707240.0,39960.0,106.13,0.27,1.5,1.484285714
Rice,1999,Autumn,Odisha,797000.0,743000,1484.3,84585610.0,215190.0,106.13,0.27,0.9322459222082811,0.971333333
Rice,1999,Summer,Odisha,381810.0,912040,1484.3,40521495.3,103088.7,106.13,0.27,2.3887273774914224,2.073333333
Rice,1999,Winter,Odisha,3423000.0,3532000,1484.3,363282990.0,924210.0,106.13,0.27,1.0318434122115103,1.142666667
Rice,1999,Kharif,Puducherry,25444.0,59433,1434.5875,2700371.72,6869.88,106.13000000000001,0.27,2.335835560446471,2.61
Rice,1999,Kharif,Punjab,2604000.0,8716000,364.4,276362520.0,703080.0,106.13,0.27,3.3471582181259603,3.332352941
Rice,1999,Kharif,Sikkim,15908.0,23439,2678.5,1688316.04,4295.16,106.13,0.27,1.473409605230073,1.465
Rice,1999,Kharif,Tamil Nadu,2204046.0,7225373,922.8,233915402.0,595092.42,106.13000000907422,0.27,3.2782314888164765,3.499642857
Rice,1999,Kharif,Tripura,232160.0,505680,2147.4,24639140.8,62683.2,106.13000000000001,0.26999999999999996,2.1781529979324605,2.075
Rice,1999,Kharif,Uttar Pradesh,6079822.0,13230539,883.4,645251508.9,1641551.94,106.13000000657914,0.27,2.1761392027595545,1.991707317
Rice,1999,Summer,Uttar Pradesh,6052.0,16186,883.4,642298.76,1634.04,106.13,0.27,2.6744877726371445,2.190384615
Rice,1999,Autumn,West Bengal,427155.0,827970,2318.1,45333960.15,115331.85,106.13,0.27,1.9383362011447836,1.868888889
Rice,1999,Summer,West Bengal,1474338.0,4468400,2318.1,156471491.9,398071.26,106.12999997286919,0.27,3.030783985761745,2.897222222
Rice,1999,Winter,West Bengal,4248946.0,8463310,2318.1,450940639.0,1147215.42,106.13000000470704,0.26999999999999996,1.991861040361539,1.906666667
Rice,2000,Kharif,Andhra Pradesh,3003673.0,8233806,935.6,294870578.4,780954.98,98.16999999667074,0.26,2.7412458013904977,2.7
Rice,2000,Rabi,Andhra Pradesh,1239053.0,4224208,935.6,121637833.0,322153.78,98.16999999192932,0.26,3.409223011445031,2.939090909
Rice,2000,Kharif,Arunachal Pradesh,118601.0,132690,2157.7,11643060.17,30836.26,98.17,0.26,1.1187932648122698,1.066153846
Rice,2000,Autumn,Assam,539665.0,557764,1965.5,52978913.05,140312.9,98.16999999999999,0.26,1.0335374723207915,1.197826087
Rice,2000,Summer,Assam,329255.0,681027,1965.5,32322963.35,85606.3,98.17,0.26,2.0683877238007016,1.825217391
Rice,2000,Winter,Assam,1777257.0,2759652,1965.5,174473319.7,462086.82,98.17000000562665,0.26,1.5527591113721877,1.581304348
Rice,2000,Autumn,Bihar,2939790.0,4444354,1207.0,288599184.3,764345.4,98.17,0.26,1.5117930192292646,1.399189189
Rice,2000,Kharif,Bihar,591705.0,786858,1207.0,58087679.85,153843.3,98.17,0.25999999999999995,1.3298146880624635,1.310645161
Rice,2000,Summer,Bihar,125349.0,213158,1207.0,12305511.33,32590.74,98.17,0.26,1.7005161588843947,1.590645161
Rice,2000,Kharif,Chhattisgarh,3769746.0,2369295,896.4,370075964.8,980133.96,98.1699999946946,0.26,0.6285025569361967,0.6575
Rice,2000,Kharif,Delhi,6053.0,11420,544.3,594223.01,1573.78,98.17,0.26,1.8866677680489015,1.89
Rice,2000,Kharif,Goa,41000.0,96568,3886.9,4024970.0,10660.0,98.17,0.26,2.3553170731707316,2.36
Rice,2000,Rabi,Goa,16207.0,45555,3886.9,1591041.19,4213.82,98.17,0.26,2.8108224841118035,2.81
Rice,2000,Kharif,Gujarat,583500.0,472600,379.7,57282195.0,151710.0,98.17,0.26,0.8099400171379606,0.8725
Rice,2000,Summer,Gujarat,3900.0,10700,379.7,382863.0,1014.0,98.17,0.26,2.7435897435897436,3.53
Rice,2000,Kharif,Haryana,1054282.0,2695000,383.7,103498863.9,274113.32,98.16999996205949,0.26,2.5562420680614863,2.443157895
Rice,2000,Kharif,Himachal Pradesh,81519.0,124893,1068.4,8002720.23,21194.94,98.17,0.26,1.5320722776285283,1.55
Rice,2000,Kharif,Jammu and Kashmir,244051.0,415342,989.5,23958486.67,63453.26,98.17,0.26,1.7018655936668976,1.6
Rice,2000,Kharif,Karnataka,1120549.0,2792657,1213.3,110004295.3,291342.74,98.1699999732274,0.26,2.492222116123436,2.357407407
Rice,2000,Rabi,Karnataka,52005.0,106335,1213.3,5105330.85,13521.3,98.16999999999999,0.26,2.0447072396884916,2.064615385
Rice,2000,Summer,Karnataka,310892.0,947744,1213.3,30520267.64,80831.92,98.17,0.26,3.048466991752763,2.751304348
Rice,2000,Autumn,Kerala,129752.0,260306,2412.6,12737753.84,33735.52,98.17,0.25999999999999995,2.0061810222578456,1.938461538
Rice,2000,Summer,Kerala,55258.0,154606,2412.6,5424677.86,14367.08,98.17,0.26,2.7978935176806976,2.23
Rice,2000,Winter,Kerala,162445.0,336416,2412.6,15947225.65,42235.7,98.17,0.26,2.070953245713934,2.042857143
Rice,2000,Kharif,Madhya Pradesh,1697346.0,975274,723.3,166628456.8,441309.96,98.1699999882169,0.26,0.5745876209093491,0.613555556
Rice,2000,Kharif,Maharashtra,1486400.0,1879200,1057.8,145919888.0,386464.0,98.17,0.26,1.2642626480086114,0.9865625
Rice,2000,Summer,Maharashtra,25100.0,50500,1057.8,2464067.0,6526.0,98.17,0.26,2.0119521912350598,1.987
Rice,2000,Kharif,Manipur,156890.0,381750,1969.7,15401891.3,40791.4,98.17,0.26,2.4332334756836,2.26
Rice,2000,Kharif,Meghalaya,102657.0,165907,6258.8,10077837.69,26690.82,98.17,0.26,1.6161294407590325,1.681428571
Rice,2000,Rabi,Meghalaya,4003.0,13135,6258.8,392974.51,1040.78,98.17,0.26,3.281289033225081,1.744285714
Rice,2000,Kharif,Mizoram,51839.0,103673,2834.3,5089034.63,13478.14,98.17,0.26,1.9999035475221358,1.8875
Rice,2000,Kharif,Nagaland,150000.0,230000,1631.8,14725500.0,39000.0,98.17,0.26,1.5333333333333334,1.5025
Rice,2000,Rabi,Nagaland,1680.0,3330,1631.8,164925.6,436.8,98.17,0.26,1.9821428571428572,1.98
Rice,2000,Autumn,Odisha,854570.0,464250,1066.0,83893136.9,222188.2,98.17,0.26,0.5432556724434511,0.733666667
Rice,2000,Summer,Odisha,206730.0,441540,1066.0,20294684.1,53749.8,98.17,0.26,2.1358293426208097,1.685333333
Rice,2000,Winter,Odisha,3372220.0,3707590,1066.0,331050837.4,876777.2,98.16999999999999,0.26,1.0994508068868578,1.020666667
Rice,2000,Kharif,Puducherry,42779.0,103606,1434.5875,4199614.43,11122.54,98.16999999999999,0.26,2.421889244722878,2.605
Rice,2000,Kharif,Punjab,2611000.0,9154000,405.3,256321870.0,678860.0,98.17,0.26,3.5059364228265033,3.501764706
Rice,2000,Kharif,Sikkim,15218.0,21358,2504.8,1493951.06,3956.68,98.17,0.26,1.4034695755026942,1.4225
Rice,2000,Kharif,Tamil Nadu,2113344.0,7217903,971.1,207466980.5,549469.44,98.17000000946368,0.25999999999999995,3.415394275612489,3.611785714
Rice,2000,Kharif,Tripura,243070.0,547520,2437.5,23862181.9,63198.2,98.16999999999999,0.26,2.2525198502488997,2.185
Rice,2000,Kharif,Uttar Pradesh,5904128.0,11672250,874.4,579608245.8,1535073.28,98.17000000677491,0.26,1.9769642528075273,1.894782609
Rice,2000,Summer,Uttar Pradesh,3023.0,6899,874.4,296767.91,785.98,98.16999999999999,0.26,2.2821700297717498,2.083181818
Rice,2000,Kharif,Uttarakhand,285545.0,579074,1413.4,28031952.65,74241.7,98.17,0.26,2.027960566635732,1.649230769
Rice,2000,Rabi,Uttarakhand,3062.0,9578,1413.4,300596.54,796.12,98.16999999999999,0.26,3.1280209013716527,3.125
Rice,2000,Autumn,West Bengal,393944.0,683950,1907.7,38673482.48,102425.44,98.16999999999999,0.26,1.7361604695083566,1.648333333
Rice,2000,Summer,West Bengal,1401841.0,4541328,1907.7,137618731.0,364478.66,98.17000002140043,0.26,3.239545711674862,3.021111111
Rice,2000,Winter,West Bengal,3639538.0,7202760,1907.7,357293445.5,946279.88,98.1700000109904,0.26,1.9790314045354107,1.876111111
Rice,2001,Kharif,Andhra Pradesh,2426073.0,6500545,928.4,247774835.5,630778.98,102.13000000412188,0.26,2.6794515251602076,2.627272727
Rice,2001,Rabi,Andhra Pradesh,1398674.0,4889246,928.4,142846575.6,363655.24,102.12999998570074,0.26,3.4956294318761914,3.025909091
Rice,2001,Kharif,Arunachal Pradesh,119455.0,134621,2128.5,12199939.15,31058.3,102.13000000000001,0.26,1.126959943074798,1.135384615
Rice,2001,Autumn,Assam,495698.0,487719,1824.7,50625636.74,128881.48,102.13000000000001,0.26,0.98390350576359,1.120434783
Rice,2001,Summer,Assam,325987.0,653036,1824.7,33293052.31,84756.62,102.13,0.26,2.0032577986238715,1.806521739
Rice,2001,Winter,Assam,1714736.0,2713493,1824.7,175125987.7,445831.36,102.1300000116636,0.26,1.5824552584187888,1.600434783
Rice,2001,Autumn,Bihar,2844474.0,4354156,1247.0,290506129.6,739563.24,102.12999999296883,0.26,1.5307420633832476,1.409189189
Rice,2001,Kharif,Bihar,126106.0,243661,1247.0,12879205.78,32787.56,102.13,0.26,1.9321919654893502,1.792903226
Rice,2001,Summer,Bihar,593959.0,703404,1247.0,60661032.67,154429.34,102.13000000000001,0.26,1.1842635602794132,1.098275862
Rice,2001,Kharif,Chhattisgarh,3810112.0,5073721,1550.0,389126738.6,990629.12,102.13000001049839,0.26,1.331646156333462,1.34375
Rice,2001,Kharif,Delhi,6405.0,12063,611.9,654142.65,1665.3,102.13000000000001,0.26,1.8833723653395784,1.88
Rice,2001,Kharif,Goa,32746.0,79071,2530.6,3344348.98,8513.96,102.13,0.25999999999999995,2.4146766017223475,2.41
Rice,2001,Rabi,Goa,16637.0,47452,2530.6,1699136.81,4325.62,102.13000000000001,0.26,2.852196910500691,2.85
Rice,2001,Kharif,Gujarat,664000.0,1028700,666.5,67814320.0,172640.0,102.13,0.26,1.5492469879518072,1.533571429
Rice,2001,Summer,Gujarat,3800.0,11500,666.5,388094.0,988.0,102.13,0.26,3.026315789473684,2.935
Rice,2001,Kharif,Haryana,1027505.0,2726000,483.8,104939085.6,267151.3,102.12999995133843,0.26,2.65302845241629,2.645555556
Rice,2001,Kharif,Himachal Pradesh,80579.0,137418,918.1,8229533.27,20950.54,102.13,0.26,1.7053822956353393,1.654545455
Rice,2001,Kharif,Jammu and Kashmir,249830.0,422298,953.8,25515137.9,64955.8,102.13,0.26,1.6903414321738783,1.634166667
Rice,2001,Kharif,Karnataka,1087967.0,2393946,1002.9,111114069.7,282871.42,102.12999999080854,0.26,2.2003847543169965,2.154814815
Rice,2001,Rabi,Karnataka,53480.0,99699,1002.9,5461912.4,13904.8,102.13000000000001,0.26,1.8642296185489904,1.840714286
Rice,2001,Summer,Karnataka,276277.0,740400,1002.9,28216170.01,71832.02,102.13000000000001,0.26,2.679919066733749,2.4368
Rice,2001,Autumn,Kerala,116540.0,235838,2946.7,11902230.2,30300.4,102.13,0.26,2.023665694182255,1.886923077
Rice,2001,Summer,Kerala,43850.0,105032,2946.7,4478400.5,11401.0,102.13,0.26,2.3952565564424173,2.151428571
Rice,2001,Winter,Kerala,161978.0,362634,2946.7,16542813.14,42114.28,102.13000000000001,0.26,2.238785514082159,2.153571429
Rice,2001,Kharif,Madhya Pradesh,1766150.0,1685799,955.0,180376899.5,459199.0,102.13,0.26,0.9545049967443309,0.849333333
Rice,2001,Kharif,Maharashtra,1487200.0,2590400,1035.8,151887736.0,386672.0,102.13,0.26,1.7417966648735879,1.261875
Rice,2001,Summer,Maharashtra,26800.0,60800,1035.8,2737084.0,6968.0,102.13,0.26,2.2686567164179103,2.192
Rice,2001,Kharif,Manipur,162570.0,387270,2013.1,16603274.1,42268.2,102.13,0.26,2.382173832810482,2.234444444
Rice,2001,Kharif,Meghalaya,107761.0,188971,4241.0,11005630.93,28017.86,102.13,0.26,1.7536121602435017,1.751428571
Rice,2001,Kharif,Mizoram,55880.0,105713,2406.4,5707024.4,14528.8,102.13000000000001,0.26,1.8917859699355761,1.825
Rice,2001,Kharif,Nagaland,155000.0,235000,1532.0,15830150.0,40300.0,102.13,0.26,1.5161290322580645,1.485
Rice,2001,Rabi,Nagaland,1500.0,2000,1532.0,153195.0,390.0,102.13,0.26,1.3333333333333333,1.76
Rice,2001,Kharif,Odisha,4500000.0,7220000,1672.5,459585000.0,1170000.0,102.13,0.26,1.6044444444444443,1.583666667
Rice,2001,Kharif,Puducherry,26263.0,66868,1434.5875,2682240.19,6828.38,102.13,0.26,2.546091459467692,2.415
Rice,2001,Kharif,Punjab,2487000.0,8816000,479.3,253997310.0,646620.0,102.13,0.26,3.544833132287897,3.517058824
Rice,2001,Kharif,Sikkim,14900.0,21372,2372.5,1521737.0,3874.0,102.13,0.26,1.4343624161073825,1.4275
Rice,2001,Kharif,Tamil Nadu,2059878.0,6583630,481.3,210375340.1,535568.28,102.12999998058137,0.26,3.1961261783464847,3.532857143
Rice,2001,Kharif,Tripura,246750.0,587390,2284.4,25200577.5,64155.0,102.13,0.26,2.380506585612969,2.28
Rice,2001,Kharif,Uttar Pradesh,6068496.0,12849116,849.9,619775496.5,1577808.96,102.1300000032957,0.26,2.117347692080542,2.016086957
Rice,2001,Summer,Uttar Pradesh,2829.0,6741,849.9,288925.77,735.54,102.13000000000001,0.26,2.3828207847295864,2.097777778
Rice,2001,Kharif,Uttarakhand,280816.0,567662,1541.3,28679738.08,73012.16,102.13,0.26,2.0214731354338786,1.608461538
Rice,2001,Rabi,Uttarakhand,3761.0,11855,1541.3,384110.93,977.86,102.13,0.26,3.1520872108481788,2.2625
Rice,2001,Autumn,West Bengal,353048.0,731778,1556.6,36056792.24,91792.48,102.13000000000001,0.26,2.0727436495887246,2.094705882
